"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"Brittain Brown",2023,"Raiders","$494,964",475000,153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Bryant Koback",2022,"Vikings","$207,000",207000,173,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"Bryant Koback",2023,"Seahawks","$132,000",132000,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"Buddy Howell",2020,"Texans","$750,000",750000,129,16,64,4,9,0,0,1,2,3,3,0,0,14,6.7,0.5,"0.0%"
"Buddy Howell",2021,"Rams","$541,667",541667,157,5,11,2.2,4,0,0,0,0,0,0,0,0,5,1.1,0.2,"0.0%"
"C.J. Prosise",2020,"Buccaneers","$0",0,124,10,19,1.9,7,0,0,5,5,18,3.6,1,1,10,7.7,0.8,"0.0%"
"Caleb Huntley",2022,"Falcons","$502,500",502500,67,76,366,4.8,30,2,1,2,2,3,1.5,0,0,12,42.9,3.6,"0.0%"
"Cam Akers",2020,"Rams","$1,122,371",2659484,42,145,625,4.3,61,4,2,11,14,123,11.2,1,1,12,90.8,7.6,"20.7%"
"Cam Akers",2021,"Rams","$1,402,964",890593,153,5,3,0.6,2,0,0,3,3,10,3.3,0,0,2,1.3,0.7,"20.7%"
"Cam Akers",2022,"Rams","$1,683,557",1171186,31,188,786,4.2,42,3,7,13,18,117,9,0,2,15,128.3,8.6,"20.7%"
"Cam Akers",2023,"Vikings","$1,290,470",1290470,68,60,167,2.8,19,0,2,11,12,70,6.4,0,0,7,35.7,5.1,"20.7%"
"Carlos Hyde",2020,"Seahawks","$2,750,000",2562500,54,81,356,4.4,50,2,4,16,20,93,5.8,0,0,10,68.9,6.9,"0.0%"
"Carlos Hyde",2021,"Jaguars","$1,991,176",2441176,84,72,253,3.5,18,0,1,12,22,65,5.4,0,2,12,33.8,2.8,"0.0%"
"Chase Brown",2023,"Bengals","$754,873",969490,65,44,179,4.1,31,2,0,14,15,156,11.1,1,0,12,39.5,3.3,"74.4%"
"Chase Edmonds",2020,"Cardinals","$863,089",750000,30,97,448,4.6,32,4,1,53,67,402,7.6,4,0,16,115,7.2,"0.1%"
"Chase Edmonds",2021,"Cardinals","$1,033,089",920000,37,116,592,5.1,54,3,2,43,53,311,7.2,0,1,12,100.3,8.4,"0.1%"
"Chase Edmonds",2022,"Broncos","$1,111,111",1111111,57,68,245,3.6,28,3,2,16,24,157,9.8,1,0,13,58.2,4.5,"0.1%"
"Chase Edmonds",2023,"Buccaneers","$1,092,500",1232500,76,49,176,3.6,21,1,0,14,17,81,5.8,0,0,13,25.7,2,"0.1%"
"Chris Carson",2020,"Seahawks","$2,149,285",2133000,16,141,681,4.8,29,3,5,37,46,287,7.8,4,0,12,150.8,12.6,"0.3%"
"Chris Carson",2021,"Seahawks","$2,700,000",5500000,75,54,232,4.3,33,2,3,6,6,29,4.8,0,1,4,42.1,10.5,"0.3%"
"Chris Evans",2021,"Bengals","$703,222",832888,83,17,77,4.5,13,0,0,15,17,151,10.1,2,0,9,34.8,3.9,"0.0%"
"Chris Evans",2022,"Bengals","$868,222",825000,114,0,0,0,0,0,0,3,4,38,12.7,1,0,10,9.8,1,"0.0%"
"Chris Evans",2023,"Bengals","$983,222",940000,138,2,12,6,7,0,0,1,1,-1,-1,0,0,7,1.1,0.2,"0.0%"
"Chris Rodriguez Jr.",2023,"Commanders","$761,090",894359,67,51,247,4.8,16,0,2,2,2,12,6,0,1,11,35.9,3.3,"0.1%"
"Chris Thompson",2020,"Jaguars","$1,368,750",1350000,91,7,20,2.9,5,0,0,20,23,146,7.3,1,0,8,22.6,2.8,"0.0%"
"Christian McCaffrey",2020,"Panthers","$7,794,782",22325000,51,59,225,3.8,15,0,5,17,19,149,8.8,1,0,3,73.4,24.5,"98.8%"
"Christian McCaffrey",2021,"Panthers","$6,899,500",8237500,44,99,442,4.5,18,0,1,37,41,343,9.3,1,0,7,90.5,12.9,"98.8%"
"Christian McCaffrey",2022,"49ers","$690,000",690000,2,244,1139,4.7,49,9,8,85,108,741,8.7,5,0,17,271.4,16,"98.8%"
"Christian McCaffrey",2023,"49ers","$3,424,000",1.2e+07,1,272,1459,5.4,72,9,14,67,83,564,8.4,7,2,16,324.3,20.3,"98.8%"
"Chuba Hubbard",2021,"Panthers","$838,293",1373172,33,172,612,3.6,26,3,5,25,37,174,7,1,1,16,112.6,7,"90.4%"
"Chuba Hubbard",2022,"Panthers","$1,003,293",825000,50,95,466,4.9,35,3,2,14,17,171,12.2,0,1,14,73.7,5.3,"90.4%"
"Chuba Hubbard",2023,"Panthers","$1,118,293",940000,26,238,902,3.8,22,4,5,39,44,233,6,0,0,17,143.5,8.4,"90.4%"
"Clyde Edwards-Helaire",2020,"Chiefs","$1,967,559",6040236,22,181,803,4.4,31,3,4,36,54,297,8.3,1,0,13,140,10.8,"5.2%"
"Clyde Edwards-Helaire",2021,"Chiefs","$2,459,449",1101890,38,119,517,4.3,17,0,4,19,23,118,6.2,2,2,10,97.5,9.8,"5.2%"
"Clyde Edwards-Helaire",2022,"Chiefs","$2,951,339",1593780,46,71,302,4.3,52,2,3,17,23,151,8.9,3,0,10,81.3,8.1,"5.2%"
"Clyde Edwards-Helaire",2023,"Chiefs","$3,443,229",2085670,59,70,223,3.2,20,1,1,17,22,188,11.1,1,0,15,53.1,3.5,"5.2%"
"Cordarrelle Patterson",2022,"Falcons","$2,500,000",6250000,30,144,695,4.8,40,4,8,21,31,122,5.8,0,1,13,133.7,10.3,"1.1%"
"Cordarrelle Patterson",2023,"Falcons","$5,500,000",4250000,73,50,181,3.6,18,0,0,9,12,38,4.2,1,0,14,27.9,2,"1.1%"
"Corey Clement",2020,"Eagles","$825,000",825000,103,21,75,3.6,7,0,1,5,6,25,5,0,0,15,16,1.1,"0.0%"
"Corey Clement",2021,"Cowboys","$850,000",990000,96,33,140,4.2,38,1,0,6,7,29,4.8,1,0,11,22.9,2.1,"0.0%"
"Corey Clement",2022,"Cardinals","$397,778",1035000,100,15,55,3.7,12,0,1,5,7,54,10.8,0,0,5,16.9,3.4,"0.0%"
"Corey Clement",2023,"Cardinals","$398,166",421500,163,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"Craig Reynolds",2020,"Jaguars","$64,906",64906,154,1,4,4,4,0,0,1,1,3,3,0,0,2,0.7,0.4,"0.2%"
"Craig Reynolds",2021,"Lions","$141,667",141667,89,55,230,4.2,35,2,0,7,8,52,7.4,0,0,5,28.2,5.6,"0.2%"
"Craig Reynolds",2022,"Lions","$937,222",937222,89,23,102,4.4,21,1,0,9,10,116,12.9,0,0,7,21.8,3.1,"0.2%"
"Craig Reynolds",2023,"Lions","$940,000",1080000,81,41,179,4.4,19,0,1,5,5,47,9.4,0,2,15,24.6,1.6,"0.2%"
"D.J. Foster",2020,"Cardinals","$145,588",145588,152,2,2,1,2,0,0,1,1,7,7,0,0,10,0.9,0.1,"0.0%"
"D'Andre Swift",2020,"Lions","$1,552,530",4380120,20,114,521,4.6,54,1,8,46,57,357,7.8,2,2,13,143.8,11.1,"93.2%"
"D'Andre Swift",2021,"Lions","$1,940,663",998133,23,151,617,4.1,57,3,5,62,78,452,7.3,2,1,13,146.9,11.3,"93.2%"
"D'Andre Swift",2022,"Lions","$2,328,796",1386266,23,99,542,5.5,50,3,5,48,70,389,8.1,3,0,14,143.1,10.2,"93.2%"
"D'Andre Swift",2023,"Eagles","$1,774,399",1774399,23,229,1049,4.6,43,6,5,39,49,214,5.5,1,1,16,160.3,10,"93.2%"
"D'Ernest Johnson",2020,"Browns","$675,000",675000,97,33,166,5,28,3,0,3,4,14,4.7,0,0,16,18,1.1,"5.2%"
"D'Ernest Johnson",2021,"Browns","$850,000",850000,48,100,534,5.3,30,4,3,19,25,137,7.2,0,0,13,85.1,6.5,"5.2%"
"D'Ernest Johnson",2022,"Browns","$1,216,500",1216500,140,4,17,4.3,7,0,0,3,3,7,2.3,0,0,10,2.4,0.2,"5.2%"
