player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Saquon Barkley,2020,Giants,"$8,597,659",3405886.0,120,19,34,1.8,18,0,0,6,9,60,10.0,0,0,2,9.4,4.7,99.8%,"$8,597,659",23.0
Saquon Barkley,2021,Giants,"$10,025,602",4833829.0,34,162,593,3.7,41,3,2,41,57,263,6.4,2,1,14,107.6,7.7,99.8%,"$10,025,602",24.0
Saquon Barkley,2022,Giants,"$7,217,000",7217000.0,6,295,1312,4.4,68,9,10,57,76,338,5.9,0,0,16,227.0,14.2,99.8%,"$7,217,000",25.0
Saquon Barkley,2023,Giants,"$10,091,000",10091000.0,13,247,962,3.9,36,7,6,41,60,280,6.8,4,2,14,182.2,13.0,99.8%,"$10,091,000",26.0
Sean Tucker,2023,Buccaneers,"$751,666",755000.0,121,15,23,1.5,7,0,0,2,2,9,4.5,0,0,5,3.2,0.6,5.7%,"$751,666",22.0
Snoop Conner,2022,Jaguars,"$786,567",1031268.0,112,12,42,3.5,8,0,1,0,0,0,0.0,0,0,5,10.2,2.0,0.0%,"$786,567",22.0
Tank Bigsby,2023,Jaguars,"$980,530",1672120.0,85,50,132,2.6,12,0,2,1,4,6,6.0,0,2,16,21.8,1.4,49.9%,"$980,530",21.0
Tevin Coleman,2020,49ers,"$4,868,750",4900000.0,121,28,53,1.9,12,0,0,4,5,34,8.5,0,0,8,8.7,1.1,0.0%,"$4,868,750",27.0
Tevin Coleman,2021,Jets,"$1,100,000",1100000.0,77,84,356,4.2,20,1,0,11,16,49,4.5,0,0,11,40.5,3.7,0.0%,"$1,100,000",28.0
Tevin Coleman,2022,49ers,"$203,722",216222.0,96,12,26,2.2,14,0,1,3,3,44,14.7,1,0,3,19.0,6.3,0.0%,"$203,722",29.0
Tony Pollard,2020,Cowboys,"$842,582",675000.0,41,101,435,4.3,42,4,4,28,40,193,6.9,1,0,16,92.8,5.8,92.5%,"$842,582",23.0
Tony Pollard,2021,Cowboys,"$1,017,582",850000.0,29,130,719,5.5,58,4,2,39,46,337,8.6,0,0,15,123.6,8.2,92.5%,"$1,017,582",24.0
Tony Pollard,2022,Cowboys,"$1,132,582",965000.0,8,193,1007,5.2,57,9,9,39,55,371,9.5,3,0,16,209.8,13.1,92.5%,"$1,132,582",25.0
Tony Pollard,2023,Cowboys,"$10,091,000",10091000.0,18,252,1005,4.0,31,6,6,55,67,311,5.7,0,1,17,167.6,9.9,92.5%,"$10,091,000",26.0
Travis Homer,2020,Seahawks,"$666,722",630882.0,90,25,88,3.5,12,0,0,9,10,90,10.0,1,0,9,23.8,2.6,0.1%,"$666,722",22.0
Travis Homer,2021,Seahawks,"$885,840",850000.0,70,21,177,8.4,73,2,1,16,20,161,10.1,0,0,14,45.8,3.3,0.1%,"$885,840",23.0
Travis Homer,2022,Seahawks,"$1,000,840",965000.0,85,19,74,3.9,16,0,0,16,18,157,9.8,1,1,12,27.1,2.3,0.1%,"$1,000,840",24.0
Travis Homer,2023,Bears,"$1,860,294",2085294.0,143,0,0,0.0,0,0,0,0,1,0,0.0,0,0,9,0.0,0.0,0.1%,"$1,860,294",25.0
Trayveon Williams,2020,Bengals,"$720,496",675000.0,100,26,157,6.0,55,1,0,5,5,30,6.0,0,1,10,16.7,1.7,2.8%,"$720,496",23.0
Trayveon Williams,2021,Bengals,"$283,333",283333.0,131,15,51,3.4,10,0,0,1,2,4,4.0,0,0,4,5.5,1.4,2.8%,"$283,333",24.0
Trayveon Williams,2022,Bengals,"$965,000",965000.0,125,6,30,5.0,16,0,0,2,3,30,15.0,0,0,9,6.0,0.7,2.8%,"$965,000",25.0
Trayveon Williams,2023,Bengals,"$1,092,500",1232500.0,110,15,69,4.6,15,0,0,7,9,10,1.4,0,0,17,7.9,0.5,2.8%,"$1,092,500",26.0
Trestan Ebner,2022,Bears,"$746,484",870936.0,135,24,54,2.3,11,0,0,2,8,8,4.0,0,1,11,4.2,0.4,0.0%,"$746,484",23.0
Trey Sermon,2021,49ers,"$804,321",1482285.0,93,41,167,4.1,16,0,1,3,4,26,8.7,0,0,6,25.3,4.2,12.5%,"$804,321",22.0
Trey Sermon,2022,Eagles,"$881,497",881497.0,143,2,19,9.5,14,0,0,0,0,0,0.0,0,0,1,1.9,1.9,12.5%,"$881,497",23.0
Trey Sermon,2023,Colts,"$835,556",835556.0,89,35,160,4.6,27,1,0,3,6,13,4.3,0,0,12,17.3,1.4,12.5%,"$835,556",24.0
Ty Chandler,2022,Vikings,"$611,656",835789.0,142,6,20,3.3,10,0,0,0,0,0,0.0,0,0,2,2.0,1.0,28.4%,"$611,656",24.0
Ty Chandler,2023,Vikings,"$944,711",870000.0,44,102,461,4.5,31,3,3,21,25,159,7.6,0,0,16,80.0,5.0,28.4%,"$944,711",25.0
Ty Johnson,2020,Jets,"$555,882",555882.0,70,54,254,4.7,34,1,1,16,21,99,6.2,1,0,13,47.3,3.6,2.3%,"$555,882",23.0
Ty Johnson,2021,Jets,"$850,000",850000.0,52,61,238,3.9,24,2,2,34,55,372,10.9,2,1,15,83.0,5.5,2.3%,"$850,000",24.0
Ty Johnson,2022,Jets,"$965,000",965000.0,77,30,160,5.3,32,2,1,12,24,88,7.3,0,0,12,30.8,2.6,2.3%,"$965,000",25.0
Ty Johnson,2023,Bills,"$626,667",720000.0,77,30,132,4.4,13,0,0,7,7,62,8.9,1,0,9,25.4,2.8,2.3%,"$626,667",26.0
Tyjae Spears,2023,Titans,"$998,291",1743164.0,39,100,453,4.5,23,3,2,52,70,385,7.4,1,0,17,101.8,6.0,52.0%,"$998,291",22.0
Tyler Allgeier,2022,Falcons,"$788,472",1038888.0,22,210,1035,4.9,44,6,3,16,17,139,8.7,1,0,16,143.4,9.0,40.7%,"$788,472",22.0
Tyler Allgeier,2023,Falcons,"$953,472",870000.0,34,186,683,3.7,31,2,4,18,23,193,10.7,1,0,17,119.6,7.0,40.7%,"$953,472",23.0
Tyler Badie,2022,Broncos,"$78,333",78333.0,120,1,0,0.0,0,0,0,1,1,24,24.0,1,0,1,8.4,8.4,0.7%,"$78,333",22.0
Tyler Goodson,2023,Colts,"$125,000",125000.0,94,13,87,6.7,31,1,0,6,9,34,5.7,0,0,6,12.1,2.0,3.7%,"$125,000",23.0
Tyrion Davis-Price,2022,49ers,"$928,826",1600304.0,113,34,99,2.9,20,1,0,0,2,0,0.0,0,0,5,9.9,2.0,0.0%,"$928,826",22.0
Tyrion Davis-Price,2023,49ers,"$60,000",60000.0,127,6,21,3.5,15,0,0,0,0,0,0.0,0,0,1,2.1,2.1,0.0%,"$60,000",23.0
