"Player","Year","Team","Cap.Number","Cash.Spent","Rank","REC","TGT","YDS","Y.R","LG","X20.","TD","ATT","YDS.1","TD.1","FL","G","FPTS","FPTS.G","ROST","REC_TGT_interaction"
"Michael Thomas",2020,"Saints","$7,000,000",1.1e+07,102,40,55,438,11,24,5,0,1,1,0,0,7,43.9,6.3,"0.7%",0.727272727272727
"Michael Thomas",2022,"Saints","$13,228,588",15800000,112,16,22,171,10.7,21,2,3,0,0,0,0,3,35.1,11.7,"0.7%",0.727272727272727
"Michael Thomas",2023,"Saints","$14,453,588",6460000,82,39,64,448,11.5,31,4,1,0,0,0,0,10,50.8,5.1,"0.7%",0.609375
"Michael Wilson",2023,"Cardinals","$970,811",1633244,56,38,58,565,14.9,69,7,3,0,0,0,0,13,76.5,5.9,"17.6%",0.655172413793103
"Mike Evans",2020,"Buccaneers","$8,387,500",16750000,8,70,109,1006,14.4,50,20,13,0,0,0,0,16,178.6,11.2,"97.0%",0.642201834862385
"Mike Evans",2021,"Buccaneers","$7,697,500",12250000,6,74,114,1035,14,46,20,14,1,10,0,0,16,188.5,11.8,"97.0%",0.649122807017544
"Mike Evans",2022,"Buccaneers","$10,256,278",13937778,16,77,127,1124,14.6,63,19,6,0,0,0,0,15,148.4,9.9,"97.0%",0.606299212598425
"Mike Evans",2023,"Buccaneers","$23,698,500",14500000,4,79,136,1255,15.9,75,20,13,0,0,0,0,17,203.5,12,"97.0%",0.580882352941177
"Mike Thomas",2020,"Bengals","$850,000",850000,144,13,21,132,10.2,29,2,1,1,1,0,1,14,17.3,1.2,"0.0%",0.619047619047619
"Mike Thomas",2021,"Bengals","$0",0,182,5,11,52,10.4,19,0,0,0,0,0,0,7,5.2,0.7,"0.0%",0.454545454545455
"Mike Thomas",2022,"Ravens","$46,200",46200,169,2,10,38,19,33,1,0,0,0,0,0,5,5.8,1.2,"0.0%",0.2
"Mike Williams",2020,"Chargers","$6,374,109",3248190,42,48,85,756,15.8,64,13,5,1,1,0,0,15,105.7,7,"15.3%",0.564705882352941
"Mike Williams",2021,"Chargers","$15,680,000",15680000,9,76,129,1146,15.1,72,17,9,0,0,0,0,16,170.6,10.7,"15.3%",0.589147286821705
"Mike Williams",2022,"Chargers","$14,000,000",2.8e+07,32,63,93,895,14.2,55,11,4,0,0,0,0,13,113.5,8.7,"15.3%",0.67741935483871
"Mike Williams",2023,"Chargers","$13,540,000",1.2e+07,111,19,26,249,13.1,49,4,1,1,3,0,0,3,31.2,10.4,"15.3%",0.730769230769231
"Miles Boykin",2020,"Ravens","$889,232",675000,96,19,33,266,14,43,3,4,0,0,0,0,16,50.6,3.2,"0.0%",0.575757575757576
"Miles Boykin",2021,"Ravens","$1,064,232",850000,219,1,1,6,6,6,0,0,0,0,0,0,2,0.6,0.3,"0.0%",1
"Miles Boykin",2022,"Steelers","$2,540,000",2540000,205,2,3,11,5.5,11,0,0,0,0,0,0,10,1.1,0.1,"0.0%",0.666666666666667
"Miles Boykin",2023,"Steelers","$940,000",1080000,192,3,4,17,5.7,6,0,0,0,0,0,0,16,1.7,0.1,"0.0%",0.75
"Mitchell Tinsley",2023,"Commanders","$755,000",765000,238,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Montrell Washington",2022,"Broncos","$783,547",1074872,204,4,9,2,0.5,4,0,0,5,30,0,1,15,1.2,0.1,"0.0%",0.444444444444444
"Montrell Washington",2023,"Chiefs","$216,666",216666,232,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"0.0%",NA
"N'Keal Harry",2020,"Patriots","$2,295,079",954016,106,33,57,309,9.4,30,2,2,2,0,0,1,14,40.9,2.9,"0.0%",0.578947368421053
"N'Keal Harry",2021,"Patriots","$2,754,095",1413032,144,12,22,184,15.3,43,3,0,0,0,0,1,10,16.4,1.6,"0.0%",0.545454545454545
"N'Keal Harry",2022,"Bears","$1,872,048",1872048,140,7,9,116,16.6,49,1,1,0,0,0,0,6,17.6,2.9,"0.0%",0.777777777777778
"N'Keal Harry",2023,"Vikings","$80,500",80500,243,0,0,0,0,0,0,0,0,0,0,0,8,0,0,"0.0%",NA
"Nelson Agholor",2020,"Raiders","$887,500",1047500,21,48,82,896,18.7,85,15,8,0,0,0,0,16,137.6,8.6,"0.4%",0.585365853658537
"Nelson Agholor",2021,"Patriots","$6,941,176",11882353,66,37,64,473,12.8,44,9,3,3,11,0,0,15,66.4,4.4,"0.4%",0.578125
"Nelson Agholor",2022,"Patriots","$14,941,176",9941176,100,31,53,362,11.7,44,6,2,0,0,0,2,15,44.2,2.9,"0.4%",0.584905660377358
"Nelson Agholor",2023,"Ravens","$1,582,000",3750000,71,35,45,381,10.9,37,4,4,0,0,0,0,17,62.1,3.7,"0.4%",0.777777777777778
"Nick Westbrook-Ikhine",2020,"Titans","$574,118",574118,181,3,8,33,11,19,0,0,0,0,0,0,14,5.3,0.4,"1.1%",0.375
"Nick Westbrook-Ikhine",2021,"Titans","$780,000",780000,65,38,57,476,12.5,46,5,4,0,0,0,1,15,69.6,4.6,"1.1%",0.666666666666667
"Nick Westbrook-Ikhine",2022,"Titans","$895,000",895000,79,25,50,397,15.9,63,5,3,0,0,0,0,16,57.7,3.6,"1.1%",0.5
"Nick Westbrook-Ikhine",2023,"Titans","$1,260,000",1260000,75,28,45,370,13.2,33,8,3,0,0,0,0,14,57,4.1,"1.1%",0.622222222222222
"Nico Collins",2021,"Texans","$844,897",1522087,91,33,60,446,13.5,32,8,1,0,0,0,0,14,50.6,3.6,"98.2%",0.55
"Nico Collins",2022,"Texans","$1,107,163",881433,76,37,66,481,13,58,8,2,0,0,0,0,10,60.1,6,"98.2%",0.560606060606061
"Nico Collins",2023,"Texans","$1,328,595",1102865,9,80,109,1297,16.2,75,25,8,1,7,0,0,15,180.4,12,"98.2%",0.73394495412844
"Noah Brown",2020,"Cowboys","$842,988",825000,151,14,24,154,11,20,1,0,1,4,0,0,16,15.8,1,"2.0%",0.583333333333333
"Noah Brown",2021,"Cowboys","$987,500",1127500,140,16,25,184,11.5,27,3,0,0,0,0,0,10,18.4,1.8,"2.0%",0.64
"Noah Brown",2022,"Cowboys","$1,047,500",1187500,59,43,74,555,12.9,51,6,3,0,0,0,1,16,71.5,4.5,"2.0%",0.581081081081081
"Noah Brown",2023,"Texans","$2,829,412",2455882,66,33,55,567,17.2,75,14,2,1,-1,0,0,10,68.6,6.9,"2.0%",0.6
"Nsimba Webster",2020,"Rams","$675,000",675000,256,0,0,0,0,0,0,0,0,0,0,1,16,-2,-0.1,"0.0%",NA
"Nsimba Webster",2021,"Bears","$204,844",204844,231,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"0.0%",NA
"Nsimba Webster",2022,"Bears","$425,622",425622,201,2,3,14,7,8,0,0,0,0,0,0,1,1.4,1.4,"0.0%",0.666666666666667
"Odell Beckham Jr.",2020,"Browns","$14,250,000",14250000,77,23,43,319,13.9,43,3,3,3,72,1,0,7,63.8,9.1,"2.7%",0.534883720930233
"Odell Beckham Jr.",2021,"Rams","$850,000",4750000,52,44,82,537,12.2,54,7,5,2,14,0,0,14,85.1,6.1,"2.7%",0.536585365853659
"Odell Beckham Jr.",2023,"Ravens","$4,932,000",1.6e+07,63,35,64,565,16.1,51,10,3,0,0,0,1,14,72.5,5.2,"2.7%",0.546875
