Player,Year,Age,Cash.Spent
Kadarius Toney,2022,23,784431.0
Kadarius Toney,2023,24,1907228.0
Kalif Raymond,2020,26,804412.0
Kalif Raymond,2021,27,1127500.0
Kalif Raymond,2022,28,2600000.0
Kalif Raymond,2023,29,4400000.0
Kayshon Boutte,2023,21,937274.0
Keenan Allen,2020,28,19250000.0
Keenan Allen,2021,29,13000000.0
Keenan Allen,2022,30,16500000.0
Keenan Allen,2023,31,19000000.0
Kendrick Bourne,2020,25,3259000.0
Kendrick Bourne,2021,26,6750000.0
Kendrick Bourne,2022,27,4205882.0
Kendrick Bourne,2023,28,5102941.0
Khalil Shakir,2022,22,1052152.0
Khalil Shakir,2023,23,870000.0
Kyle Philips,2022,23,850272.0
Kyle Philips,2023,24,782222.0
Mack Hollins,2020,27,825000.0
Mack Hollins,2021,28,1127500.0
Mack Hollins,2022,29,2500000.0
Mack Hollins,2023,30,2380000.0
Malik Heath,2023,23,759000.0
Marquez Valdes-Scantling,2020,26,750000.0
Marquez Valdes-Scantling,2021,27,2183000.0
Marquez Valdes-Scantling,2022,28,9000000.0
Marquez Valdes-Scantling,2023,29,9000000.0
Marquise Brown,2020,23,1030788.0
Marquise Brown,2021,24,1566576.0
Marquise Brown,2022,25,2102364.0
Marquise Brown,2023,26,13413000.0
Michael Thomas,2020,27,11000000.0
Michael Thomas,2022,29,15800000.0
Michael Thomas,2023,30,6460000.0
Michael Wilson,2023,23,1633244.0
Mike Evans,2020,27,16750000.0
Mike Evans,2021,28,12250000.0
Mike Evans,2022,29,13937778.0
Mike Evans,2023,30,14500000.0
Mike Williams,2020,26,3248190.0
Mike Williams,2021,27,15680000.0
Mike Williams,2022,28,28000000.0
Mike Williams,2023,29,12000000.0
Nelson Agholor,2020,27,1047500.0
Nelson Agholor,2021,28,11882353.0
Nelson Agholor,2022,29,9941176.0
Nelson Agholor,2023,30,3750000.0
Nick Westbrook-Ikhine,2020,23,574118.0
Nick Westbrook-Ikhine,2021,24,780000.0
Nick Westbrook-Ikhine,2022,25,895000.0
Nick Westbrook-Ikhine,2023,26,1260000.0
Nico Collins,2021,22,1522087.0
Nico Collins,2022,23,881433.0
Nico Collins,2023,24,1102865.0
Noah Brown,2020,24,825000.0
Noah Brown,2021,25,1127500.0
Noah Brown,2022,26,1187500.0
Noah Brown,2023,27,2455882.0
Odell Beckham Jr.,2020,28,14250000.0
Odell Beckham Jr.,2021,29,4750000.0
Odell Beckham Jr.,2023,31,16000000.0
Olamide Zaccheaus,2020,23,601471.0
Olamide Zaccheaus,2021,24,850000.0
Olamide Zaccheaus,2022,25,2433000.0
Olamide Zaccheaus,2023,26,1232500.0
Parker Washington,2023,21,842264.0
Parris Campbell,2020,23,712088.0
Parris Campbell,2021,24,929176.0
Parris Campbell,2022,25,1146264.0
Parris Campbell,2023,26,4200000.0
Puka Nacua,2023,22,994980.0
Quentin Johnston,2023,22,8069116.0
Quez Watkins,2020,22,730248.0
Quez Watkins,2021,23,780000.0
Quez Watkins,2022,24,895000.0
Quez Watkins,2023,25,2743000.0
Rakim Jarrett,2023,22,675000.0
Rashee Rice,2023,23,2473796.0
Rashid Shaheed,2022,24,509167.0
Rashid Shaheed,2023,25,870000.0
